article_id,timestamp,title,content,source,location,severity,event_type,estimated_duration_days,affected_industries,sentiment_score
NEWS_C73A0F26,2025-05-04T22:12:50,Factory fire in Thailand halts production,Factory fire in Thailand halts production Manufacturing facilities in the region are implementing contingency plans. Local authorities report significant impact on industrial operations in Thailand.,Smith LLC News,Thailand,Low,Industrial Accident,10,"['Technology', 'Logistics', 'Manufacturing']",-0.65
NEWS_38E0EA20,2025-05-19T22:05:26,COVID-19 outbreak forces France facility closure,COVID-19 outbreak forces France facility closure Manufacturing facilities in the region are implementing contingency plans. Local authorities report significant impact on industrial operations in France. Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 9 days.,Gutierrez and Sons News,France,Low,Health Crisis,9,"['Technology', 'Logistics']",0.02
NEWS_66C53D38,2025-05-19T12:18:02,COVID-19 outbreak forces Netherlands facility closure,COVID-19 outbreak forces Netherlands facility closure Recovery efforts are underway with estimated timeline of 2 days. Manufacturing facilities in the region are implementing contingency plans.,"Hampton, Knapp and Salas News",Netherlands,Medium,Health Crisis,1,"['Technology', 'Manufacturing']",-0.63
NEWS_E2A8E2CE,2025-05-02T14:44:21,COVID-19 outbreak forces Ireland facility closure,COVID-19 outbreak forces Ireland facility closure Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 14 days. Supply chain disruptions expected to last approximately 13 days. Local authorities report significant impact on industrial operations in Ireland.,"Taylor, Clark and Nguyen News",Ireland,Low,Health Crisis,13,"['Healthcare', 'Logistics']",-0.29
NEWS_C538927B,2025-05-22T19:31:08,Regulatory inspection halts operations at Ireland facility,Regulatory inspection halts operations at Ireland facility Manufacturing facilities in the region are implementing contingency plans. Local authorities report significant impact on industrial operations in Ireland. Companies are exploring alternative sourcing options to minimize impact.,"Bennett, Frye and Stevens News",Ireland,Low,Regulatory Issue,11,['Healthcare'],-0.58
NEWS_61DFE1F1,2025-05-25T11:18:51,Regulatory inspection halts operations at Israel facility,Regulatory inspection halts operations at Israel facility Local authorities report significant impact on industrial operations in Israel. Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 1 days.,Payne-Lowe News,Israel,High,Regulatory Issue,1,"['Healthcare', 'Manufacturing']",-0.21
NEWS_D28EE94F,2025-05-12T10:10:50,New trade tariffs imposed on goods from Singapore,New trade tariffs imposed on goods from Singapore Local authorities report significant impact on industrial operations in Singapore. Recovery efforts are underway with estimated timeline of 14 days. Supply chain disruptions expected to last approximately 11 days. Companies are exploring alternative sourcing options to minimize impact.,"Washington, Bernard and Ramirez News",Singapore,High,Trade Policy,11,['Manufacturing'],-0.35
NEWS_FAC85125,2025-05-14T01:57:11,COVID-19 outbreak forces Germany facility closure,COVID-19 outbreak forces Germany facility closure Recovery efforts are underway with estimated timeline of 15 days. Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 11 days. Local authorities report significant impact on industrial operations in Germany.,David LLC News,Germany,Critical,Health Crisis,11,"['Manufacturing', 'Logistics', 'Healthcare']",-0.32
NEWS_F9C88AC3,2025-05-13T14:53:26,Regulatory inspection halts operations at Italy facility,Regulatory inspection halts operations at Italy facility Supply chain disruptions expected to last approximately 2 days. Manufacturing facilities in the region are implementing contingency plans.,"Clark, Bush and Stewart News",Italy,Critical,Regulatory Issue,2,"['Healthcare', 'Manufacturing', 'Logistics']",-0.56
NEWS_065B2D59,2025-05-16T12:33:41,New trade tariffs imposed on goods from Belgium,New trade tariffs imposed on goods from Belgium Supply chain disruptions expected to last approximately 8 days. Manufacturing facilities in the region are implementing contingency plans. Recovery efforts are underway with estimated timeline of 9 days. Local authorities report significant impact on industrial operations in Belgium.,"Peck, Pope and Hill News",Belgium,High,Trade Policy,8,"['Technology', 'Manufacturing', 'Healthcare']",-0.14
NEWS_1A3730F3,2025-05-05T12:10:12,Port strike in Mexico disrupts shipping operations,Port strike in Mexico disrupts shipping operations Local authorities report significant impact on industrial operations in Mexico. Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 10 days.,"Rhodes, James and Baird News",Mexico,Medium,Labor Strike,10,"['Manufacturing', 'Healthcare']",-0.01
NEWS_9E66ACE1,2025-05-16T08:17:14,Civil unrest in United Kingdom impacts industrial operations,Civil unrest in United Kingdom impacts industrial operations Supply chain disruptions expected to last approximately 7 days. Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 12 days.,Roberts LLC News,United Kingdom,High,Civil Unrest,7,"['Technology', 'Healthcare', 'Manufacturing']",0.06
NEWS_121F3510,2025-05-03T10:15:08,Transportation network disrupted in Indonesia,Transportation network disrupted in Indonesia Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 14 days. Manufacturing facilities in the region are implementing contingency plans. Recovery efforts are underway with estimated timeline of 16 days.,Bradshaw-Douglas News,Indonesia,High,Transportation Disruption,14,"['Technology', 'Healthcare', 'Manufacturing']",-0.37
NEWS_8A18393F,2025-05-22T20:20:39,COVID-19 outbreak forces Switzerland facility closure,COVID-19 outbreak forces Switzerland facility closure Manufacturing facilities in the region are implementing contingency plans. Companies are exploring alternative sourcing options to minimize impact.,Harris PLC News,Switzerland,Critical,Health Crisis,3,"['Manufacturing', 'Healthcare']",-0.76
NEWS_E23B48E4,2025-05-12T18:04:08,Civil unrest in Belgium impacts industrial operations,Civil unrest in Belgium impacts industrial operations Supply chain disruptions expected to last approximately 14 days. Manufacturing facilities in the region are implementing contingency plans. Companies are exploring alternative sourcing options to minimize impact. Local authorities report significant impact on industrial operations in Belgium.,"Horton, Taylor and Gilbert News",Belgium,Critical,Civil Unrest,14,['Manufacturing'],-0.82
NEWS_AB3B2C8F,2025-05-28T01:53:00,New trade tariffs imposed on goods from United States,New trade tariffs imposed on goods from United States Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 16 days. Supply chain disruptions expected to last approximately 13 days.,Sanchez Ltd News,United States,Low,Trade Policy,13,['Logistics'],-0.67
NEWS_48CAF50D,2025-05-25T08:53:04,Civil unrest in United States impacts industrial operations,Civil unrest in United States impacts industrial operations Recovery efforts are underway with estimated timeline of 16 days. Supply chain disruptions expected to last approximately 13 days. Manufacturing facilities in the region are implementing contingency plans. Local authorities report significant impact on industrial operations in United States.,Little Inc News,United States,Critical,Civil Unrest,13,['Manufacturing'],0.03
NEWS_D646919C,2025-05-04T10:54:55,Severe weather warning issued for China,Severe weather warning issued for China Companies are exploring alternative sourcing options to minimize impact. Manufacturing facilities in the region are implementing contingency plans.,Rivera-Kennedy News,China,Low,Severe Weather,10,"['Logistics', 'Manufacturing']",-0.87
NEWS_F8681B71,2025-05-06T06:20:13,Transportation network disrupted in Israel,Transportation network disrupted in Israel Recovery efforts are underway with estimated timeline of 7 days. Manufacturing facilities in the region are implementing contingency plans. Supply chain disruptions expected to last approximately 2 days. Local authorities report significant impact on industrial operations in Israel.,Oconnell and Sons News,Israel,Medium,Transportation Disruption,2,"['Manufacturing', 'Logistics', 'Healthcare']",-0.0
NEWS_EA278E36,2025-05-19T08:15:28,Factory fire in Israel halts production,Factory fire in Israel halts production Supply chain disruptions expected to last approximately 13 days. Recovery efforts are underway with estimated timeline of 15 days. Local authorities report significant impact on industrial operations in Israel.,"Donovan, Johns and Woods News",Israel,Medium,Industrial Accident,13,['Healthcare'],-0.47
NEWS_A2E9F187,2025-05-09T06:33:33,Regulatory inspection halts operations at South Korea facility,Regulatory inspection halts operations at South Korea facility Manufacturing facilities in the region are implementing contingency plans. Local authorities report significant impact on industrial operations in South Korea. Supply chain disruptions expected to last approximately 1 days. Recovery efforts are underway with estimated timeline of 5 days.,Morris-Brewer News,South Korea,Critical,Regulatory Issue,1,"['Logistics', 'Technology', 'Manufacturing']",-0.56
NEWS_FF9D7799,2025-05-03T22:24:20,Severe weather warning issued for Taiwan,Severe weather warning issued for Taiwan Recovery efforts are underway with estimated timeline of 17 days. Local authorities report significant impact on industrial operations in Taiwan.,"Andrews, Nichols and Sharp News",Taiwan,Low,Severe Weather,14,"['Logistics', 'Technology', 'Healthcare']",-0.63
NEWS_B05ED873,2025-05-01T09:37:55,Severe weather warning issued for Taiwan,Severe weather warning issued for Taiwan Supply chain disruptions expected to last approximately 13 days. Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 14 days. Local authorities report significant impact on industrial operations in Taiwan.,Butler and Sons News,Taiwan,Critical,Severe Weather,13,"['Healthcare', 'Manufacturing']",0.12
NEWS_78FE11F5,2025-05-01T08:30:55,Civil unrest in Singapore impacts industrial operations,Civil unrest in Singapore impacts industrial operations Manufacturing facilities in the region are implementing contingency plans. Companies are exploring alternative sourcing options to minimize impact. Local authorities report significant impact on industrial operations in Singapore.,French-Lopez News,Singapore,High,Civil Unrest,4,['Technology'],-0.43
NEWS_001BAF52,2025-05-13T15:25:47,Severe weather warning issued for Belgium,Severe weather warning issued for Belgium Supply chain disruptions expected to last approximately 12 days. Manufacturing facilities in the region are implementing contingency plans.,Smith PLC News,Belgium,Low,Severe Weather,12,"['Technology', 'Healthcare']",-0.12
NEWS_60B9D2A1,2025-05-28T20:28:10,Severe weather warning issued for Canada,Severe weather warning issued for Canada Supply chain disruptions expected to last approximately 8 days. Companies are exploring alternative sourcing options to minimize impact.,Hebert LLC News,Canada,Medium,Severe Weather,8,['Technology'],-0.76
NEWS_4FA48C71,2025-05-13T09:42:53,Severe weather warning issued for Japan,Severe weather warning issued for Japan Supply chain disruptions expected to last approximately 10 days. Recovery efforts are underway with estimated timeline of 11 days.,Hays-Daniels News,Japan,Medium,Severe Weather,10,"['Technology', 'Logistics', 'Healthcare']",-0.43
NEWS_900B85FD,2025-05-23T13:37:33,"Natural disaster hits Israel, affecting local suppliers","Natural disaster hits Israel, affecting local suppliers Recovery efforts are underway with estimated timeline of 7 days. Manufacturing facilities in the region are implementing contingency plans. Supply chain disruptions expected to last approximately 5 days. Local authorities report significant impact on industrial operations in Israel.",Rosales Group News,Israel,Low,Natural Disaster,5,"['Healthcare', 'Manufacturing']",-0.53
NEWS_5334A6F3,2025-05-12T20:03:16,Regulatory inspection halts operations at Ireland facility,Regulatory inspection halts operations at Ireland facility Recovery efforts are underway with estimated timeline of 5 days. Supply chain disruptions expected to last approximately 4 days.,Lamb LLC News,Ireland,Low,Regulatory Issue,4,"['Logistics', 'Technology']",-0.16
NEWS_888935EB,2025-05-07T11:29:45,Major power outage affects manufacturing in Thailand for 7 days,Major power outage affects manufacturing in Thailand for 7 days Recovery efforts are underway with estimated timeline of 12 days. Manufacturing facilities in the region are implementing contingency plans. Local authorities report significant impact on industrial operations in Thailand.,"Stevens, Scott and Lopez News",Thailand,Low,Power Outage,7,"['Logistics', 'Healthcare']",-0.86
NEWS_54111823,2025-05-15T22:56:25,Transportation network disrupted in Taiwan,Transportation network disrupted in Taiwan Companies are exploring alternative sourcing options to minimize impact. Local authorities report significant impact on industrial operations in Taiwan. Recovery efforts are underway with estimated timeline of 11 days. Manufacturing facilities in the region are implementing contingency plans.,Bradley-Todd News,Taiwan,Medium,Transportation Disruption,7,"['Healthcare', 'Technology']",-0.41
NEWS_A5F4862A,2025-05-08T02:38:34,Factory fire in Vietnam halts production,Factory fire in Vietnam halts production Supply chain disruptions expected to last approximately 14 days. Manufacturing facilities in the region are implementing contingency plans. Companies are exploring alternative sourcing options to minimize impact. Local authorities report significant impact on industrial operations in Vietnam.,"Chase, Prince and Wilcox News",Vietnam,Critical,Industrial Accident,14,['Technology'],-0.05
NEWS_81BCAEDA,2025-05-24T14:31:18,Civil unrest in United States impacts industrial operations,Civil unrest in United States impacts industrial operations Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 5 days. Recovery efforts are underway with estimated timeline of 7 days. Manufacturing facilities in the region are implementing contingency plans.,Miller-Caldwell News,United States,Low,Civil Unrest,5,['Technology'],-0.84
NEWS_E8168165,2025-05-08T13:27:43,Factory fire in Italy halts production,Factory fire in Italy halts production Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 13 days. Manufacturing facilities in the region are implementing contingency plans. Supply chain disruptions expected to last approximately 11 days.,Woods and Sons News,Italy,Low,Industrial Accident,11,['Manufacturing'],-0.94
NEWS_60B3BB9E,2025-04-29T22:08:02,COVID-19 outbreak forces Singapore facility closure,COVID-19 outbreak forces Singapore facility closure Recovery efforts are underway with estimated timeline of 11 days. Local authorities report significant impact on industrial operations in Singapore. Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 6 days.,Reyes-Griffin News,Singapore,Critical,Health Crisis,6,"['Technology', 'Healthcare']",-0.55
NEWS_E7AE7842,2025-05-12T13:14:50,Major power outage affects manufacturing in Canada for 10 days,Major power outage affects manufacturing in Canada for 10 days Supply chain disruptions expected to last approximately 10 days. Companies are exploring alternative sourcing options to minimize impact. Recovery efforts are underway with estimated timeline of 12 days.,Turner-Sharp News,Canada,Critical,Power Outage,10,['Manufacturing'],-0.62
NEWS_4001FBD1,2025-04-30T03:29:59,Factory fire in United Kingdom halts production,Factory fire in United Kingdom halts production Manufacturing facilities in the region are implementing contingency plans. Local authorities report significant impact on industrial operations in United Kingdom.,Valdez-Schwartz News,United Kingdom,Medium,Industrial Accident,3,"['Healthcare', 'Technology']",-0.57
NEWS_B33CD207,2025-05-02T14:33:23,Civil unrest in Belgium impacts industrial operations,Civil unrest in Belgium impacts industrial operations Recovery efforts are underway with estimated timeline of 10 days. Manufacturing facilities in the region are implementing contingency plans. Supply chain disruptions expected to last approximately 5 days.,"Wilson, Parker and Sullivan News",Belgium,Medium,Civil Unrest,5,"['Technology', 'Manufacturing']",-0.33
NEWS_8B7E49D8,2025-05-23T23:39:18,COVID-19 outbreak forces Philippines facility closure,COVID-19 outbreak forces Philippines facility closure Local authorities report significant impact on industrial operations in Philippines. Supply chain disruptions expected to last approximately 1 days.,"Carrillo, Vaughn and Fowler News",Philippines,Medium,Health Crisis,1,['Technology'],-0.69
NEWS_BD35823D,2025-05-13T21:55:12,COVID-19 outbreak forces Taiwan facility closure,COVID-19 outbreak forces Taiwan facility closure Local authorities report significant impact on industrial operations in Taiwan. Companies are exploring alternative sourcing options to minimize impact. Supply chain disruptions expected to last approximately 7 days.,Mendez-Robinson News,Taiwan,Critical,Health Crisis,7,"['Technology', 'Manufacturing']",0.02
NEWS_205CF829,2025-05-06T01:47:43,Port strike in Vietnam disrupts shipping operations,Port strike in Vietnam disrupts shipping operations Manufacturing facilities in the region are implementing contingency plans. Supply chain disruptions expected to last approximately 6 days.,Hernandez-Adkins News,Vietnam,Medium,Labor Strike,6,"['Healthcare', 'Technology', 'Manufacturing']",-0.3
NEWS_1249671C,2025-05-28T23:54:48,Transportation network disrupted in United States,Transportation network disrupted in United States Companies are exploring alternative sourcing options to minimize impact. Local authorities report significant impact on industrial operations in United States.,Perry-Dunn News,United States,Medium,Transportation Disruption,13,"['Manufacturing', 'Logistics']",-0.97
